museum,title,raw_text,year,period,url
Pushkin Museum,Названо Вазари. Готика. Эпоха глазами средневековых и современных художников,Названо Вазари. Готика. Эпоха глазами средневековых и современных художников 11 декабря 2021 – 28 февраля 2022,2022,transition_2022,https://pushkinmuseum.art/events/archive/2021/exhibitions/vasari/index.php?lang=ru
Pushkin Museum,"«Тело. Отпечаток»
Выставка и серия перфомансов Александра Фролова","«Тело. Отпечаток»
Выставка и серия перфомансов Александра Фролова 09 декабря 2021 – 16 января 2022",2022,transition_2022,https://pushkinmuseum.art/museum/branches/ekb/events/vistavka_i_seriya_perfomansov_aleksandra_frolova/index.php?lang=ru
Pushkin Museum,Выставка «Разрезая стены»,Выставка «Разрезая стены» 02 декабря – 19 декабря 2021,2021,pre_2022,https://pushkinmuseum.art/museum/branches/ekb/events/vystavka_razrezaya_steny/index.php?lang=ru
Pushkin Museum,«Недоступный город» в рамках V Международного инклюзивного фестиваля «Карта уязвимости»,«Недоступный город» в рамках V Международного инклюзивного фестиваля «Карта уязвимости» 01 декабря – 13 декабря 2021,2021,pre_2022,https://pushkinmuseum.art/museum/branches/tomsk/events/nedostupniy_gorod_v_ramkah_v_mezhdunarodnogo_inklyuzivnogo_festivalya_karta_uyazvimosti.php?lang=ru
Pushkin Museum,Сергей Прокофьев – Святослав Рихтер. Короткие встречи,Сергей Прокофьев – Святослав Рихтер. Короткие встречи 19 ноября 2021 – 06 марта 2022,2022,transition_2022,https://pushkinmuseum.art/events/archive/2021/exhibitions/prokofiev/index.php?lang=ru
Pushkin Museum,Бывают странные сближенья…,Бывают странные сближенья… 09 ноября 2021 – 06 февраля 2022,2022,transition_2022,https://pushkinmuseum.art/events/archive/2021/exhibitions/martin/index.php?lang=ru
Pushkin Museum,Современная графика из собрания Центра Помпиду. Дар Флоранс и Даниэля Герлен,Современная графика из собрания Центра Помпиду. Дар Флоранс и Даниэля Герлен 26 октября 2021 – 30 января 2022,2022,transition_2022,https://pushkinmuseum.art/events/archive/2021/exhibitions/pompidou/index.php?lang=ru
Pushkin Museum,Свободное искусство. Итальянский футуризм из коллекции Джанни Маттиоли,Свободное искусство. Итальянский футуризм из коллекции Джанни Маттиоли 19 октября 2021 – 16 января 2022,2022,transition_2022,https://pushkinmuseum.art/events/archive/2021/exhibitions/futurism/index.php?lang=ru
Pushkin Museum,Выставка «2×2.Керамика.Графика»,Выставка «2×2.Керамика.Графика» 07 октября – 21 ноября 2021,2021,pre_2022,https://pushkinmuseum.art/museum/branches/ekb/events/vistavka_2h2._keramika._grafika/index.php?lang=ru
Pushkin Museum,Ксения Хауснер. Правдивая ложь,Ксения Хауснер. Правдивая ложь 28 сентября 2021 – 16 января 2022,2022,transition_2022,https://pushkinmuseum.art/events/archive/2021/exhibitions/hausner/index.php?lang=ru
