museum,archive_year,raw_text,url
Jewish Museum and Tolerance Center,2024,"Люба, Любочка. Любовь Сергеевна Попова. 1889–1924",https://www.jewish-museum.ru/exhibitions/lyuba-lyubochka-lyubov-sergeevna-popova-1889-1924/
Jewish Museum and Tolerance Center,2024,1924/1925: выставка-ретроспектива предметов из коллекции Еврейского музея,https://www.jewish-museum.ru/exhibitions/1924-1925-vystavka-retrospektiva-predmetov-iz-kollektsii-evreyskogo-muzeya/
Jewish Museum and Tolerance Center,2024,Иосиф Бродский. Место не хуже любого,https://www.jewish-museum.ru/exhibitions/iosif-brodskiy-mesto-ne-khuzhe-lyubogo/
Jewish Museum and Tolerance Center,2024,Выставка-путешествие «В ожидании чуда. Посвящение Марку Шагалу»,https://www.jewish-museum.ru/exhibitions/vystavka-puteshestvie-v-ozhidanii-chuda-posvyashchenie-marku-shagalu/
Jewish Museum and Tolerance Center,2024,О чем рассказывают книги: владельческие записи. Из собрания Библиотеки Музея,https://www.jewish-museum.ru/exhibitions/o-chem-rasskazyvayut-knigi-vladelcheskie-zapisi-iz-sobraniya-biblioteki-muzeya/
Jewish Museum and Tolerance Center,2024,О чем рассказывают книги: владельческие записи. Из собрания Библиотеки Шнеерсона,https://www.jewish-museum.ru/exhibitions/o-chem-rasskazyvayut-knigi-vladelcheskie-zapisi-iz-sobraniya-biblioteki-shneersona/
Jewish Museum and Tolerance Center,2024,Истоки советской фотографии. 1920–1930-е годы. Из коллекции Галереи Люмьер,https://www.jewish-museum.ru/exhibitions/istoki-sovetskoy-fotografii-1920-e-1930-e-gody-iz-kollektsii-galerei-lyumer/
Jewish Museum and Tolerance Center,2024,"Здесь нет ни одной персональной судьбы, все судьбы в единую слиты. Люди на Великой Отечественной войне",https://www.jewish-museum.ru/exhibitions/zdes-net-ni-odnoy-personalnoy-sudby-vse-sudby-v-edinuyu-slity-lyudi-na-velikoy-otechestvennoy-voyne/
Jewish Museum and Tolerance Center,2024,"Еврейский авангард. Шагал, Альтман, Штеренберг и другие",https://www.jewish-museum.ru/exhibitions/evreyskiy-avangard-shagal-altman-shterenberg-i-drugie/
Jewish Museum and Tolerance Center,2024,Вокруг Еврейской энциклопедии,https://www.jewish-museum.ru/exhibitions/vokrug-evreyskoy-entsiklopedii/
Jewish Museum and Tolerance Center,2024,Песах: истории и традиции праздника,https://www.jewish-museum.ru/exhibitions/pesakh-istorii-i-traditsii-prazdnika/
Jewish Museum and Tolerance Center,2024,Миниатюрные издания в коллекции семьи Шнеерсонов,https://www.jewish-museum.ru/exhibitions/miniatyurnye-izdaniya-v-kollektsii-semi-shneersonov/
Jewish Museum and Tolerance Center,2025,«Король Лир» Соломона Михоэлса. Постскриптум к 90-летию великого спектакля,https://www.jewish-museum.ru/exhibitions/korol-lir-solomona-mikhoelsa-postskriptum-k-90-letiyu-velikogo-spektaklya/
Jewish Museum and Tolerance Center,2025,За нами Москва. К 85-летию обороны Москвы,https://www.jewish-museum.ru/exhibitions/za-nami-moskva-k-85-letiyu-oborony-moskvy/
Jewish Museum and Tolerance Center,2025,Под маской титульного листа: выставка книг из собрания библиотеки Шнеерсонов,https://www.jewish-museum.ru/exhibitions/pod-maskoy-titulnogo-lista-vystavka-knig-iz-sobraniya-biblioteki-shneersonov/
Jewish Museum and Tolerance Center,2025,Мы преодолеем. We Shall Overcome,https://www.jewish-museum.ru/exhibitions/my-preodoleem-we-shall-overcome/
