Unnamed: 0,title,date,url
90,Коронационный альбом императрицы Елизаветы Петровны. 1744 г.,3 января 2024,https://rusmuseum.ru/exhibitions/archive/koronatsionnyy-albom-imperatritsy-elizavety-petrovny-1744-g/
91,История и изобразительное искусство. XX век,22 декабря 2023,https://rusmuseum.ru/exhibitions/archive/istoriya-i-izobrazitelnoe-iskusstvo-xx-vek/
92,Учебно-дидактическая выставка в Восточном павильоне Михайловского замка 21 декабря – 13 января,21 декабря 2023,https://rusmuseum.ru/exhibitions/archive/uchebno-didakticheskaya-vystavka-v-vostochnom-pavilone-mikhaylovskogo-zamka-21-dekabrya-13-yanvarya/
93,Страна сказки,16 декабря 2023,https://rusmuseum.ru/exhibitions/archive/strana-skazki/
94,"Военные парады. Фарфор, акварели",15 декабря 2023,https://rusmuseum.ru/exhibitions/archive/voennyy-parad/
95,Мультимедийная выставка «Нейроэстетика в Русском музее»,1 декабря 2023,https://rusmuseum.ru/exhibitions/archive/multimediynaya-vystavka-neyroestetika-v-russkom-muzee/
96,Мультимедийная выставка «Возвращая авторский замысел» 10+,1 декабря 2023,https://rusmuseum.ru/exhibitions/archive/multimediynaya-vystavka-vozvrashchaya-avtorskiy-zamysel-10/
97,Василий Суриков. К 175-летию со дня рождения,1 декабря 2023,https://rusmuseum.ru/exhibitions/archive/vasiliy-surikov/
98,«От Мурмана до Авачи. Природа – художнику»,28 октября 2023,https://rusmuseum.ru/exhibitions/archive/ot-murmana-do-avachi-priroda-khudozhniku/
99,Жилище будущего,20 октября 2023,https://rusmuseum.ru/exhibitions/archive/zhilishche-budushchego/
100,Иван Творожников (1848–1919),20 октября 2023,https://rusmuseum.ru/exhibitions/archive/ivan-tvorozhnikov/
101,Борис Ермолаев. К 120-летию со дня рождения,16 октября 2023,https://rusmuseum.ru/exhibitions/archive/boris-ermolaev-k-120-letiyu-so-dnya-rozhdeniya/
102,Павел Варфоломеевич Кузнецов (1878–1968),13 октября 2023,https://rusmuseum.ru/exhibitions/archive/pavel-varfolomeevich-kuznetsov/
103,От Ореста Кипренского до Павла Федотова. Рисунки и акварели первой половины XIX века,12 октября 2023,https://rusmuseum.ru/exhibitions/archive/ot-oresta-kiprenskogo-do-pavla-fedotova-risunki-i-akvareli-pervoy-poloviny-xix-veka/
104,Школа Филонова,6 октября 2023,https://rusmuseum.ru/exhibitions/archive/shkola-filonova/
105,Книжка с картинками. 1920 – 1980-е,22 сентября 2023,https://rusmuseum.ru/exhibitions/archive/knizhka-s-kartinkami-1920-1980-e/
106,Печатная графика с Марией Бессмертной в Восточном павильоне,21 сентября 2023,https://rusmuseum.ru/exhibitions/archive/pechatnaya-grafika-s-mariey-bessmertnoy-v-vostochnom-pavilone/
107,Станислав Юлианович Жуковский,25 августа 2023,https://rusmuseum.ru/exhibitions/archive/stanislav-yulianovich-zhukovskiy/
108,Гравюра и литография из собрания Русского музея: виды пригородов Санкт-Петербурга,16 августа 2023,https://rusmuseum.ru/exhibitions/archive/gravyura-i-litografiya-iz-sobraniya-russkogo-muzeya-vidy-prigorodov-sankt-peterburga/
109,Степан Петрович Яремич. 1869–1939,4 августа 2023,https://rusmuseum.ru/exhibitions/archive/stepan-petrovich-yaremich-1869-1939/
110,Античный миф и современный мир,28 июля 2023,https://rusmuseum.ru/exhibitions/archive/antichnyy-mif-i-sovremennyy-mir/
111,Клин Новикова. Новая Академия Изящных Искусств,26 июля 2023,https://rusmuseum.ru/exhibitions/archive/klin-novikova-novaya-akademiya-izyashchnykh-iskusstv/
112,Африка в русском искусстве,21 июля 2023,https://rusmuseum.ru/exhibitions/archive/afrika-v-russkom-iskusstve/
113,Иван Годлевский,14 июля 2023,https://rusmuseum.ru/exhibitions/archive/ivan-godlevskiy/
114,Настроения. Фотовыставка епископа Александровского и Юрьев-Польского Иннокентия,7 июля 2023,https://rusmuseum.ru/exhibitions/archive/nastroeniya-fotovystavka-episkopa-innokentiya/
115,Хань Юйчэнь. Сияние Тибета,7 июля 2023,https://rusmuseum.ru/exhibitions/archive/khan-yuychen-velikaya-krasota-i-chistota/
116,Чай в садах России и Турции,30 июня 2023,https://rusmuseum.ru/exhibitions/archive/chay-v-sadakh-rossii-i-turtsii/
117,Вдохновленные классикой. Неоклассицизм в России,29 июня 2023,https://rusmuseum.ru/exhibitions/archive/vdokhnovlennye-klassikoy-neoklassitsizm-v-rossii/
118,Александр Ержемский – первый фотограф Русского музея,15 июня 2023,https://rusmuseum.ru/exhibitions/archive/aleksandr-erzhemskiy-pervyy-fotograf-russkogo-muzeya/
119,Выставка «День России»,12 июня 2023,https://rusmuseum.ru/exhibitions/archive/den-rossii-/
120,Александр Лабас. Рисунок и акварель из собрания Русского музея,8 июня 2023,https://rusmuseum.ru/exhibitions/archive/aleksandr-labas-risunok-i-akvarel-iz-sobraniya-russkogo-muzeya/
121,Выставка работ победителей Всероссийского творческого конкурса «Однажды и навсегда. К 320-летию Санкт-Петербурга»,26 мая 2023,https://rusmuseum.ru/exhibitions/archive/vystavka-rabot-pobediteley-vserossiyskogo-tvorcheskogo-konkursa-odnazhdy-i-navsegda-k-320-letiyu-san/
122,«Фонтан» Дмитрия Каминкера,21 мая 2023,https://rusmuseum.ru/exhibitions/archive/fontan-dmitriya-kaminkera/
123,История Русского музея в архивных фотографиях. К 125-летию Русского музея,21 мая 2023,https://rusmuseum.ru/exhibitions/archive/istoriya-russkogo-muzeya-v-arkhivnykh-fotografiyakh-k-125-letiyu-russkogo-muzeya/
124,Выставка работ учеников Детской студии творческого развития отдела экскурсионно-лекционной работы «О Петербурге в красках»,15 мая 2023,https://rusmuseum.ru/exhibitions/archive/vystavka-rabot-uchenikov-detskoy-studii-tvorcheskogo-razvitiya-otdela-ekskursionno-lektsionnoy-rabot/
125,Онлайн-акция к Дню города!,14 мая 2023,https://rusmuseum.ru/exhibitions/archive/onlayn-aktsiya-k-dnyu-goroda/
